19.05.06 12:31:28	 start:12.04.14 17:05:39	 pos:1380267076	 sent:-1468756865	 speed:--.-b/s	 host:210.56.65.228	 client:Unknown	 file:
19.05.06 12:31:28	 start:18.01.26 06:14:41	 pos:774712932	 sent:1145587210	 speed:--.-b/s	 host:82.23.137.173	 client:Unknown	 file:
19.05.06 12:31:32	 start:05.02.78 08:52:00	 pos:69	 sent:1801678590	 speed:2b/s	 host:83.184.195.122	 client:Unknown	 file:
19.05.06 12:31:35	 start:25.10.97 21:15:13	 pos:1496730420	 sent:-1496730421	 speed:4Gb/s	 host:83.238.234.83	 client:BearShare	 file:g_r_a_n_t _b_e_k_e_r.mp3
19.05.06 12:32:40	 start:08.12.16 13:04:40	 pos:1246049606	 sent:-1246049607	 speed:--.-b/s	 host:193.91.143.175	 client:BearShare 5.2.1.2	 file:c_a_r_o_l_a___i_n_v_i_n_c_e_b_l_e.mp3
19.05.06 12:33:01	 start:08.12.16 13:04:40	 pos:1246049606	 sent:-466749402	 speed:--.-b/s	 host:71.99.180.15	 client:Unknown	 file:
19.05.06 12:33:04	 start:08.12.16 13:04:40	 pos:1246049606	 sent:-466749402	 speed:--.-b/s	 host:83.184.118.14	 client:Unknown	 file:
19.05.06 12:33:10	 start:08.12.16 13:04:40	 pos:1246049606	 sent:-466749402	 speed:--.-b/s	 host:85.100.65.95	 client:Unknown	 file:
19.05.06 12:33:20	 start:08.12.16 13:04:40	 pos:1246049606	 sent:-466749402	 speed:--.-b/s	 host:81.77.34.134	 client:Unknown	 file:
19.05.06 12:33:26	 start:08.12.16 13:04:40	 pos:1246049606	 sent:-466749402	 speed:--.-b/s	 host:82.34.219.56	 client:Unknown	 file:
19.05.06 12:33:48	 start:15.03.13 15:55:22	 pos:1178880085	 sent:1753330276	 speed:--.-b/s	 host:82.74.56.173	 client:Unknown	 file:
19.05.06 12:35:54	 start:27.02.28 21:11:27	 pos:1814062440	 sent:-1814062441	 speed:--.-b/s	 host:89.56.253.83	 client:Shareaza 2.2.1.0	 file:guns n roses - 14 years.mp3
19.05.06 12:36:38	 start:05.06.16 18:24:42	 pos:1128478260	 sent:1770238084	 speed:--.-b/s	 host:83.182.72.146	 client:Unknown	 file:
19.05.06 12:36:41	 start:05.10.13 00:42:17	 pos:1279800659	 sent:1937697498	 speed:--.-b/s	 host:86.81.143.203	 client:Unknown	 file:
19.05.06 12:37:00	 start:05.10.13 00:42:17	 pos:1279800659	 sent:1937697498	 speed:--.-b/s	 host:172.203.114.186	 client:Unknown	 file:
19.05.06 12:37:44	 start:02.05.06 14:19:36	 pos:1179208771	 sent:-630424944	 speed:4Gb/s	 host:84.81.176.61	 client:Unknown	 file:
19.05.06 12:39:19	 start:11.01.26 10:50:29	 pos:1835888451	 sent:-17565152	 speed:--.-b/s	 host:82.198.5.54	 client:Unknown	 file:
19.05.06 12:42:41	 start:13.09.22 14:11:32	 pos:1701257317	 sent:868616	 speed:--.-b/s	 host:82.74.56.173	 client:Unknown	 file:
