http://xn--nc-hpa.de/|GhostWhiteCrab/0.9.5|gnutella|TEST|PGDBScan|2006/08/09 06:38:04 PM
http://kisama.ath.cx:8080/|GhostWhiteCrab/0.9.7|gnutella|TEST|PGDBScan|2006/08/10 11:38:33 AM
http://gwc1c.olden.ch.3557.nyud.net:8090/gwc/|GhostWhiteCrab/0.9.4-om|gnutella|PHEX|2.8.10.98|2006/08/10 11:41:43 AM
http://overbeer.ghostwhitecrab.de/|GhostWhiteCrab/0.9.7|gnutella|LIME|4.10.5|2006/08/10 11:56:28 AM
http://gwc.greyfade.us:8080/gwc/|GhostWhiteCrab/0.9.7|gnutella|LIME|4.12.3|2006/08/10 12:07:35 PM
http://gwc.24rm.com:8080/gwc/|GhostWhiteCrab/0.9.7|gnutella|PHEX|2.8.10.98|2006/08/10 12:11:50 PM
http://tribaldance.ibiza.bishopston.net:3558/|GhostWhiteCrab/0.9.5|gnutella|LIME|4.9.7|2006/08/10 12:14:48 PM
http://krill.shacknet.nu:20095/gwc|GhostWhiteCrab/0.9.7|gnutella|LIME|4.9.22 Pro|2006/08/10 12:16:38 PM
http://gwcrab.sarcastro.com:8001/|GhostWhiteCrab/0.9.4|gnutella|LIME|4.9.30|2006/08/10 12:27:46 PM
http://cache.kicks-ass.net:8000/|GhostWhiteCrab/0.9.7|gnutella|PHEX|2.8.10.98|2006/08/10 12:33:02 PM
http://loot.alumnigroup.org/|Loyer Cache 0.2|gnutella|LIME|4.10.9|2006/08/10 12:44:58 PM
http://gwc.nonexiste.net/|FTWebCache/3.0|gnutella|PHEX|2.8.10.98|2006/08/10 12:48:37 PM
http://galvatron.dyndns.org:59009/gwcache|GhostWhiteCrab/0.9.7|gnutella|LIME|4.12.4|2006/08/10 12:54:08 PM
http://gwc2.nonexiste.net/|FTWebCache/3.0|gnutella|LIME|4.10.5|2006/08/10 01:01:37 PM
http://t.az.is.teh.r0x0r.gtkg.de/|GhostWhiteCrab/0.9.7|gnutella|LIME|4.10.9|2006/08/10 01:08:56 PM
http://gwcii.hackforge-uk.net/gwcii.php|PHPGnuCacheII 2.1.0|gnutella-gnutella2|BEAR|5.2.5.5|2006/08/10 01:12:57 PM
http://pokerface.ibiza.bishopston.net:3558/|GhostWhiteCrab/0.9.5|gnutella|MRPH|1.1.1.4|2006/08/10 01:17:42 PM
http://g2cache.theg2.net/gwcache/lynnx.asp|LynnX-D 0.2.2 Beta|gnutella-gnutella2|MRPH|1.1.1.4|2006/08/10 01:22:08 PM
http://noxnoxtelasox.xolox.nl/gwebcache/default.asp|GWebCache/ASP 0.7.4|gnutella|BEAR|5.2.5.1|2006/08/10 01:22:50 PM
http://gwc.nonexiste.net/gcache.php|FTWebCache/3.0|gnutella|LIME|4.11.2|2006/08/10 01:24:29 PM
http://bootstrap.gtkg.net/|GhostWhiteCrab/0.9.7|gnutella|PHEX|2.8.10.98|2006/08/10 01:26:29 PM
http://gcache1.downtownurban.com/gwcii.php|PHPGnuCacheII 2.1.1|gnutella-gnutella2|PHEX|2.8.4.93|2006/08/10 01:46:35 PM
http://www.deepnetexplorer.co.uk/webcache/index.asp|Deepnet Explorer Webcache|gnutella|LIME|4.9.33|2006/08/10 02:06:47 PM
http://ophlh8ohnjhxfvnnkoalokd8vxc.xolox.nl/gwebcache/default.asp|GWebCache/ASP 0.7.4|gnutella|BEAR|5.2.0.3|2006/08/10 02:33:10 PM
http://www.deepnetexplorer.co.uk/webcache/|Deepnet Explorer Webcache|gnutella|BEAR|5.2.5.6|2006/08/10 02:40:41 PM
http://xyz.xolox.nl/gwebcache/|GWebCache/ASP 0.7.4|gnutella|BEAR|5.2.5.4|2006/08/10 02:51:36 PM
http://wildcard-dns-sucks-biiiiig-time.xolox.nl/gwebcache/default.asp|GWebCache/ASP 0.7.4|gnutella|BEAR|5.2.5.6|2006/08/10 02:52:19 PM
http://reukiodo.dyndns.org/gwebcache/gwcii.php|PHPGnuCacheII 2.1.1|gnutella-gnutella2|MRPH|1.1.1.4|2006/08/10 02:56:15 PM
http://gcachw.xolox.nl/gwebcache/|GWebCache/ASP 0.7.4|gnutella|BEAR|5.2.4.12|2006/08/10 03:34:35 PM
